stopId,stopNumber,stopName
2752,2108,"Zürich, Rotbuchstrasse"
2754,1779,"Küsnacht ZH, Oberfeld"
2755,2695,"Itschnach, Tägermoos"
2756,3029,"Zürich, Bahnhof Hardbrücke"
2757,1106,"Küsnacht ZH, Hallenbad"
2758,3786,"Zürich, Okenstrasse"
2760,1863,"Kilchberg ZH, Paradiessteig"
2761,3788,"Zürich, Maillartstrasse"
2762,1864,"Kilchberg ZH, Paradiesstrasse"
2763,3789,"Zürich, Bollingerweg"
2764,1865,"Zürich, Hürlimannplatz"
2765,2956,"Zürich, Wonnebergstrasse"
2766,2788,"Zürich, Voltastrasse"
2767,6214,"Gockhausen, Ursprungstrasse"
2768,2113,"Zürich, Rudolf-Brun-Brücke"
2769,867,"Zürich, Flurstrasse"
2770,1026,"Zürich, Grimselstrasse"
2771,868,"Zürich, Flühgasse"
2772,2872,"Zürich, Werdhölzli"
2773,6304,"Zürich, Köschenrüti"
2774,2030,"Zürich, Rathaus"
2775,3797,"Zürich, Albisrank"
2777,3123,"Zürich, Im Gut"
2778,2035,"Zürich, Rebbergsteig"
2779,788,"Zürich, Englischviertelstrasse"
2780,2038,"Itschnach, Rebweg"
2781,2795,"Zürich, Waffenplatzstrasse"
2782,118,"Kilchberg ZH, Auf Brunnen"
2783,2120,"Zürich, Räffelstrasse"
2784,2799,"Zürich, Waidbadstrasse"
2785,2122,"Küsnacht ZH, Ränkestrasse"
2787,2127,"Zürich, Röntgenstrasse"
2788,3041,"Zürich, Bahnhof Tiefenbrunnen"
2789,3043,"Zürich, Bahnhof Wipkingen"
2790,961,"Zollikon, Gemeindehaus"
2791,3045,"Zürich, Zürichbergstrasse"
2792,1120,"Zürich, Hardhof"
2795,2040,"Zollikon, Rebwiesstrasse"
2796,2043,"Küsnacht ZH, Reform. Kirche"
2797,3133,"Fällanden, Jugendherberge"
